year,ynew,y,death,inj,magnitude,intensity,location,hour,min,time
1990,28.42884,10,0,0,6.7,8,青海,11,3,11:03
1990,25.585956,9,0,3,4.9,7,四川,11,19,11:19
1990,369.57492,130,2,24,5.1,6,江苏,1,57,1:57
1990,2.842884,1,0,0,5.1,6,云南,5,13,5:13
1990,11.371536,4,0,2,6.4,9,新疆,9,59,9:59
1990,779.7177947,274.27,119,2049,6.9,9,青海,17,37,17:37
1990,52.593354,18.5,0,0,5,6,四川,20,52,20:52
1990,426.4326,150,4,92,6.2,8,甘肃,16,7,16:07
1991,104.457568,38,0,0,5.2,7,四川,17,6,17:06
1991,27.48883367,10,0,5,6.5,7,新疆,22,30,22:30
1991,28.09358801,10.22,0,0,5,6,青海,0,47,0:47
1991,273.843761,99.62,1,521,5.8,7,山西,2,2,2:02
1991,133.375821,48.52,0,21,5.8,7,河北,2,2,2:02
1991,503.0456562,183,2,0,5.5,7,河北,7,6,7:06
1991,140.1930517,51,0,7,5.3,7,云南,14,18,14:18
1991,4.810545893,1.75,0,0,5.6,7,新疆,19,16,19:16
1992,0.129189437,0.05,0,0,5.4,6,甘肃,8,12,8:12
1992,19.50760494,7.55,0,0,5.9,6,新疆,15,47,15:47
1992,222.8001025,86.23,4,44,6.7,7,云南,22,18,22:18
1992,114.1776242,44.19,0,0,6.5,6,西藏,16,24,16:24
1992,437.2545675,169.23,0,292,5,6,福建,18,47,18:47
1992,225.7714596,87.38,0,0,5.1,7,四川,1,39,1:39
1992,48.75609341,18.87,1,142,5.4,6,云南,19,21,19:21
1993,154.7574028,68.7,0,154,6.3,8,云南,4,3,4:03
1993,25.90553322,11.5,0,4,5.3,6,云南,3,29,3:29
1993,1.509278892,0.67,4,0,5.4,6,新疆,0,14,0:14
1993,155.4331993,69,2,3,6.6,8,西藏,22,2,22:02
1993,18.29155911,8.12,0,0,5,6,四川,7,45,7:45
1993,26.85164835,11.92,0,13,5,6,云南,9,4,9:04
1993,46.56238014,20.67,1,14,5.6,6,云南,17,46,17:46
1993,21.06232484,9.35,0,3,5,7,四川,16,36,16:36
1993,68.81861216,30.55,0,152,5.6,7,云南,22,30,22:30
1993,2.477920569,1.1,0,0,5.1,6,青海,4,22,4:22
1993,10.8127443,4.8,0,1,6.6,7,新疆,16,42,16:42
1993,108.2400758,48.05,2,37,6,7,新疆,4,37,4:37
1994,104.254821,57.4486,0,9,6,8,青海,13,52,13:52
1994,34.28987423,18.8951,0,0,5.8,7,青海,5,9,5:09
1994,6.29718094,3.47,0,3,4.7,7,四川,15,42,15:42
1994,2.738820022,1.5092,0,0,6.3,7,西藏,2,22,2:22
1994,3.71479233,2.047,0,0,5.2,6,青海,22,50,22:50
1994,326.5968471,179.968,4,814,7.3,6,台湾海峡,14,20,14:20
1994,27.58419317,15.2,0,11,5.2,6,云南,23,28,23:28
1994,19.172829,10.565,0,1,5.5,7,青海,3,15,3:15
1994,9.531064639,5.252,0,0,5.3,5,青海,22,7,22:07
1994,57.73262745,31.813,0,133,5.7,7,四川,2,58,2:58
1994,4.340880925,2.392,0,407,6.1,4,广西,10,57,10:57
1995,15.36062728,9.91,1,37,6.2,6,广西,18,9,18:09
1995,11.31509376,7.3,0,0,5.1,6,云南,18,14,18:14
1995,0.69750578,0.45,0,0,5.1,6,新疆,2,2,2:02
1995,17.05014128,11,0,20,5.6,7,云南,0,13,0:13
1995,22.95569021,14.81,0,5,5.1,6,四川,11,46,11:46
1995,1.503512458,0.97,2,3,5.8,6,新疆,19,48,19:48
1995,5.952049319,3.84,0,0,5,6,新疆,5,46,5:46
1995,2.557521192,1.65,0,0,5.3,6,青海,23,56,23:56
1995,318.5276393,205.5,11,136,7.2,8,中缅边境,5,46,5:46
1995,163.7898572,105.67,12,594,5.8,8,甘肃,6,44,6:44
1995,15.03512458,9.7,0,320,5.2,6,山东,11,14,11:14
1995,5.456045209,3.52,0,1,5.3,6,新疆,12,39,12:39
1995,3.007024916,1.94,0,3,5,6,河北,6,26,6:26
1995,1208.963518,779.97,59,13903,6.5,6,云南,6,46,6:46
1995,0.899007449,0.58,0,0,5.2,9,新疆,20,29,20:29
1995,3.379027999,2.18,0,0,6.2,7,青海,12,57,12:57
1995,7.068058567,4.56,0,2,4.5,6,四川,11,31,11:31
1996,4.494438117,3.1407,0,0,5.6,6,新疆,14,27,14:27
1996,4.23585087,2.96,0,3,4.3,6,重庆,8,8,8:08
1996,3577.576748,2500,309,17057,7,6,云南,19,14,19:14
1996,73.85549439,51.61,1,37,5.4,6,四川,19,21,19:21
1996,48.81245715,34.11,0,0,6.1,7,新疆,2,43,2:43
1996,553.8088806,387,24,128,6.9,8,新疆,23,0,23:00
1996,2146.546049,1500,26,453,6.4,8,内蒙,11,32,11:32
1996,42.78781791,29.9,0,20,5.4,6,甘肃,20,49,20:49
1996,31.22508986,21.82,2,57,5.2,6,云南,15,5,15:05
1996,1.803098681,1.26,0,0,6,6,西藏,14,44,14:44
1996,44.07574554,30.8,1,141,5.7,7,云南,3,24,3:24
1996,57.21976251,39.985,2,60,5.5,7,四川,16,39,16:39
1997,531.9705827,382.116,12,44,6.4,8,新疆,9,47,9:47
1997,21.71785816,15.6,0,0,5.1,6,云南,10,38,10:38
1997,73.78503094,53,0,2,5.5,7,云南,17,59,17:59
1997,125.5665304,90.1948,1,6,6,7,新疆,14,4,14:04
1997,651.9043916,468.2648,8,62,6.6,8,新疆,13,34,13:34
1997,102.3832736,73.5422,0,1,5.2,6,福建,14,51,14:51
1997,88.9290605,63.878,0,33,5.2,7,重庆,16,13,16:13
1997,98.44036864,70.71,0,1,4.2,6,广东,13,26,13:26
1997,37.24055807,26.75,0,0,5.3,6,云南,20,28,20:28
1997,11.1025589,7.975,0,0,5.6,7,西藏,10,29,10:29
1998,1114.038408,793.879,49,11439,6.2,8,河北,11,50,11:50
1998,30.04713615,21.412,0,0,6,7,新疆,21,51,21:51
1998,73.52862024,52.3975,0,26,6.2,7,新疆,5,11,5:11
1998,6.657183538,4.744,1,0,5.2,6,新疆,14,39,14:39
1998,21.35238295,15.216,0,1,5,6,山西,19,40,19:40
1998,13.70027042,9.763,0,0,6.1,6,西藏,9,5,9:05
1998,13.01266082,9.273,0,15,5.5,6,新疆,12,51,12:51
1998,1.639036756,1.168,0,2,4.9,7,宁夏,9,15,9:15
1998,73.21933625,52.1771,0,3,6,7,新疆,12,40,12:40
1998,175.5207696,125.0785,3,18,6.6,7,新疆,17,3,17:03
1998,10.27920218,7.3251,0,35,4.8,6,新疆,10,51,10:51
1998,126.2675748,89.98,0,32,5.3,8,云南,20,49,20:49
1998,682.3472798,486.25,6,1974,6.2,9,云南,19,38,19:38
1998,136.2589632,97.1,0,84,5.1,6,云南,15,37,15:37
1999,31.67099068,22.25,0,0,5.2,6,内蒙,13,44,13:44
1999,15.97926029,11.226,1,30,5.6,6,河北,18,42,18:42
1999,23.29846182,16.368,0,3,5.6,6,新疆,14,29,14:29
1999,8.926237418,6.271,0,3,4.7,7,甘肃,21,18,21:18
1999,0.723094978,0.508,0,0,5.2,6,海南,3,59,3:59
1999,43.66924302,30.6792,0,0,5,6,西藏,11,29,11:29
1999,6.779727128,4.763,0,0,5.3,5,新疆,23,2,23:02
1999,82.87123943,58.22,0,11,5,7,重庆,18,41,18:41
1999,6.519242126,4.58,0,3,5,6,四川,20,54,20:54
1999,1.624686236,1.1414,0,0,5.1,6,青海,19,49,19:49
1999,206.4413388,145.0324,0,73,5.6,7,山西,21,25,21:25
1999,108.9909104,76.57,1,12,5.2,6,云南,0,40,0:40
1999,17.55071079,12.33,0,0,5,6,青海,4,51,4:51
1999,120.830879,84.888,0,0,5.6,7,辽宁,12,10,12:10
1999,5.053124356,3.55,1,2,5,6,四川,16,24,16:24
2000,37.59014348,26.5184,0,14,5.1,7,辽宁,7,43,7:43
2000,1511.365198,1066.21,7,2528,6.5,8,云南,6,9,6:09
2000,147.0526685,103.74,0,69,5.7,7,云南,4,55,4:55
2000,6.621197364,4.671,0,0,5.7,6,新疆,15,25,15:25
2000,4.594155568,3.241,0,0,5.3,7,青海,17,32,17:32
2000,80.51466715,56.8,1,28,4.7,6,河南,11,54,11:54
2000,102.0357557,71.9823,0,24,5.9,8,甘肃,18,59,18:59
2000,111.5581744,78.7,2,292,5.1,6,云南,21,25,21:25
2000,7.681921403,5.4193,0,5,6.6,8,青海,8,28,8:28
2000,71.72609433,50.6,0,17,5.8,6,中缅边境,5,35,5:35
2001,264.9724539,188.22,3,154,6,6,四川,8,9,8:09
2001,78.48376531,55.75,0,6,5,6,云南,16,57,16:57
2001,1.73508952,1.2325,0,0,5,5,新疆,7,23,7:23
2001,710.7883965,504.9,3,235,5.9,7,云南,11,13,11:13
2001,210.2379464,149.34,1,71,5.8,8,四川,10,5,10:05
2001,51.5247679,36.6,1,15,5.3,6,云南,2,3,2:03
2001,50.41262127,35.81,0,33,4.9,6,重庆,10,48,10:48
2001,27.17016449,19.3,0,1,5.3,6,云南,7,51,7:51
2001,1.647103236,1.17,0,0,5.3,6,甘肃,5,41,5:41
2001,53.0733265,37.7,0,4,5.1,6,云南,2,36,2:36
2001,577.8939132,410.5,1,220,6,7,云南,13,35,13:35
2001,61.90250373,43.9717,0,2,8.1,6,新疆,17,26,17:26
2002,43.0569111,30.34,0,9,5.3,7,四川,19,42,19:42
2002,12.39794946,8.7362,0,0,4,6,浙江,12,18,12:18
2002,11.36395917,8.0076,0,0,5,6,内蒙,23,46,23:46
2002,99.6265114,70.2017,2,350,5.9,7,甘肃,21,27,21:27
2002,43.22507998,30.4585,0,1,5.7,6,新疆,20,57,20:57
2003,43.75254854,31.2,0,0,5.4,6,新疆,19,7,19:07
2003,0.701162637,0.5,0,0,5.4,6,新疆,1,34,1:34
2003,1960.338547,1397.92,268,4853,6.8,9,新疆,10,3,10:03
2003,102.7063031,73.24,0,0,6.6,8,青海,8,48,8:48
2003,18.25827506,13.02,0,1,4.5,6,陕西,6,37,6:37
2003,108.2595111,77.2,1,3,5.8,7,新疆,23,44,23:44
2003,2.51016224,1.79,0,0,4.8,6,四川,22,46,22:46
2003,7.867044786,5.61,1,1,4.8,6,四川,9,54,9:54
2003,830.0363295,591.9,16,793,6.2,8,云南,23,16,23:16
2003,1130.96131,806.49,4,1064,5.9,8,内蒙,18,58,18:58
2003,60.88896339,43.42,2,14,5.7,7,西藏,17,3,17:03
2003,30.66885374,21.87,0,9,5,6,四川,10,16,10:16
2003,11.87769507,8.47,0,0,5.9,6,新疆,7,16,7:16
2003,107.0815579,76.36,0,0,7.9,6,中俄蒙边境,19,33,19:33
2003,582.8063838,415.6,3,57,6.1,8,云南,18,28,18:28
2003,760.3127169,542.18,10,46,6.1,8,甘肃,20,41,20:41
2003,123.2924381,87.92,1,133,5.2,8,甘肃,13,35,13:35
2003,269.10622,191.9,4,94,5.1,7,云南,2,49,2:49
2003,0.771278901,0.55,0,11,4.9,6,山西,13,40,13:40
2003,130.4162505,93,0,24,5,7,云南,21,38,21:38
2003,252.7831538,180.26,10,44,6.1,8,中哈交界,9,38,9:38
2004,19.73283332,14.62,0,5,5.6,6,西藏,21,29,21:29
2004,273.6142251,202.72,1,5,5.9,7,内蒙,9,53,9:53
2004,27.80856959,20.60329,0,0,5.9,6,青海,7,27,7:27
2004,20.71812527,15.35,1,9,4.7,6,四川,5,25,5:25
2004,21.89467184,16.2217,0,0,6.7,6,西藏,7,8,7:08
2004,448.4563063,332.26,4,597,5.6,8,云南,18,26,18:26
2004,1.125392368,0.8338,0,0,5.8,6,西藏,18,5,18:05
2004,89.08374105,66.00189,1,36,5,7,甘肃,20,15,20:15
2004,31.15412166,23.082,0,0,4.9,6,广东,2,31,2:31
2004,293.1580983,217.2,0,16,5,6,云南,6,11,6:11
2004,54.93340055,40.7,1,20,5,6,云南,15,30,15:30
2005,8.657880684,6.53,0,0,4.7,6,四川,6,5,6:05
2005,70.00552835,52.8,0,5,5,6,云南,0,30,0:30
2005,208.9218206,157.5743,0,0,6.2,7,新疆,7,16,7:16
2005,13.71206769,10.342,0,0,6.5,6,西藏,4,4,4:04
2005,55.51915708,41.874,0,0,5.9,6,西藏,4,6,4:06
2005,36.39067681,27.4468,1,11,5.1,6,黑龙,23,43,23:43
2005,225.3700702,169.98,0,44,5.3,6,云南,22,14,22:14
2005,122.2445022,92.2,0,29,5.3,6,云南,12,58,12:58
2005,8.547834115,6.447,0,0,5.2,6,新疆,5,8,5:08
2005,33.57083291,25.32,1,3,4.4,6,广西,19,18,19:18
2005,2701.568893,2037.5939,13,775,5.7,7,江西,8,49,8:49
2006,144.4609996,110.6,0,1,5,6,云南,9,5,9:05
2006,5.868042375,4.4926,0,1,4.3,6,甘肃,3,20,3:20
2006,144.5701943,110.6836,0,2,5,6,吉林,20,23,20:23
2006,6.772164471,5.1848,0,0,5.6,6,西藏,5,5,5:05
2006,95.80859864,73.3515,1,19,5,6,甘肃,0,52,0:52
2006,12.8025622,9.8017,0,0,5.1,5,河北,11,56,11:56
2006,55.56249561,42.5389,0,0,5.6,7,青海,4,41,4:41
2006,312.1715994,239,22,114,5.1,6,云南,9,10,9:10
2006,264.7580887,202.7,2,67,5.1,7,云南,13,51,13:51
2006,1.650852236,1.2639,0,0,5.1,6,新疆,19,4,19:04
2007,12.48509712,10.0173,0,0,4.7,6,福建,10,22,10:22
2007,2366.326794,1898.6,3,419,6.4,8,云南,5,34,5:34
2007,137.8508123,110.6033,0,0,5.7,7,新疆,18,6,18:06
2008,23.60993679,20.06,0,1,4.6,6,四川,5,6,5:06
2008,229.2717884,194.799,0,0,7.3,7,新疆,6,33,6:33
2008,76.26739301,64.8,0,0,5,6,云南,20,36,20:36
2008,1.859841581,1.5802,0,0,4.2,6,湖北,23,24,23:24
2008,46.29065896,39.3305,0,0,5,6,甘肃,16,32,16:32
2008,101.035582,85.8441,0,0,5.1,6,新疆,21,14,21:14
2008,15.56702233,13.2264,0,0,4.2,6,甘肃,5,42,5:42
2008,994665.6868,845110,69227,375783,8,11,四川,14,28,14:28
2008,37.86876147,32.1749,0,0,5.2,6,内蒙,14,5,14:05
2008,1539.471451,1308,5,130,5.9,8,云南,5,35,5:35
2008,5251.469025,4461.87,41,1010,6.1,8,四川,16,30,16:30
2008,42.89075745,36.4418,0,0,5.3,6,新疆,20,46,20:46
2008,79.19097641,67.284,0,0,6.8,7,新疆,23,52,23:52
2008,484.1684793,411.37,10,60,6.6,8,西藏,16,30,16:30
2008,313.206173,266.1132,0,3,6.3,7,青海,9,22,9:22
2008,5.238675405,4.451,0,1,4.1,6,湖北,16,1,16:01
2008,211.3830831,179.6,0,22,4.9,6,云南,4,20,4:20
2009,54.66900397,46.1203,0,0,5,6,新疆,9,47,9:47
2009,107.4924077,90.6836,0,0,5.2,6,新疆,18,2,18:02
2009,54.95242275,46.3594,0,0,5.5,6,新疆,12,8,12:08
2009,25.86151855,21.8175,0,0,5,6,新疆,17,26,17:26
2009,2553.258209,2154,1,372,6,8,云南,19,19,19:19
2009,26.94315649,22.73,2,1,4,6,重庆,21,26,21:26
2009,131.349014,110.8097,0,0,6.4,7,青海,9,52,9:52
2009,290.7679845,245.3,0,31,5,6,云南,5,7,5:07
2010,337.4362781,294.05,1,16,5,7,四川,5,36,5:36
2010,20.757409,18.0885,0,0,4.2,5,重庆,21,32,21:32
2010,406.6907566,354.4,0,35,5.1,6,云南,12,56,12:56
2010,12.18327998,10.6168,0,0,4.5,5,山西,21,46,21:46
2010,26218.48323,22847.41,2698,11000,7.1,9,青海,7,49,7:49
2010,4.908633497,4.2775,0,0,4.6,5,山西,20,58,20:58
2010,27.63293854,24.08,0,0,5.1,6,新疆,14,38,14:38
2010,16.59181237,14.4585,0,12,4.7,6,河南,16,58,16:58
2011,252.9953237,232.351,0,0,4.8,6,安徽,12,7,12:07
2011,2596.688837,2384.8,25,314,5.8,7,云南,12,58,12:58
2011,367.5956689,337.6,0,12,7.2,6,缅甸,21,55,21:55
2011,194.4467848,178.58,0,4,5.3,7,四川,17,2,17:02
2011,100.4482387,92.2517,0,7,5.3,6,新疆,9,53,9:53
2011,303.1357649,278.4,0,6,5.2,6,云南,18,16,18:16
2011,70.80582914,65.0281,0,0,5.2,6,青海,15,48,15:48
2011,36.25869602,33.3,0,0,5.2,6,新疆,3,5,3:05
2011,163.2185746,149.9,0,6,5.2,6,云南,19,50,19:50
2011,199.5011164,183.2219,0,21,5.8,7,新疆,18,6,18:06
2011,3.176936858,2.9177,0,0,5.5,6,新疆,23,27,23:27
2011,1452.144443,1333.65,7,136,6.8,7,印度,20,40,20:40
2011,12.90341373,11.8505,0,0,5,6,新疆,21,44,21:44
2011,738.740988,678.46,0,0,6,7,新疆,8,21,8:21
2011,52.90720839,48.59,0,0,5.2,6,新疆,20,48,20:48
2012,44.65809354,42.0811,0,0,5,6,新疆,14,20,14:20
2012,555.294232,523.251,0,0,6,6,新疆,6,50,6:50
2012,9.143739108,8.6161,0,0,5.4,7,甘肃,18,19,18:19
2012,48.25463163,45.4701,0,0,5.4,6,新疆,5,51,5:51
2012,818.7881375,771.54,4,442,5.7,7,云南,15,59,15:59
2012,2112.20575,1990.321,0,52,6.6,8,新疆,5,7,5:07
2012,16.3706688,15.426,1,3,4.9,6,江苏,20,11,20:11
2012,52.61642898,49.5802,0,0,6.2,7,新疆,18,47,18:47
2012,5063.212478,4771.04,81,834,5.7,8,云南,11,19,11:19
2012,6.751388616,6.3618,0,0,5.5,6,新疆,12,16,12:16
2012,67.79394707,63.8819,0,0,5.1,6,新疆,22,8,22:08
2013,125.1396433,120.99,0,0,5.4,7,四川,20,42,20:42
2013,85.35022201,82.52,0,0,6.1,6,哈萨克斯坦,0,38,0:38
2013,732.2825641,708,0,30,5.5,7,云南,13,41,13:41
2013,24.79210884,23.97,0,0,5.2,6,新疆,11,1,11:01
2013,8.181292488,7.91,0,0,5.6,6,新疆,13,1,13:01
2013,215.9406126,208.78,0,14,5,7,云南,9,45,9:45
2013,68794.94743,66513.7,196,13019,7,9,四川,8,2,8:02
2013,669.3972817,647.2,0,13,5.5,7,内蒙,17,11,17:11
2013,25253.40549,24416,95,2414,6.6,8,甘肃,7,45,7:45
2013,2799.987882,2707.14,0,87,6.1,8,西藏,5,23,5:23
2013,2034.15271,1966.7,3,63,5.9,8,云南,8,4,8:04
2013,2092.383654,2023,0,25,5.5,7,吉林,6,4,6:04
2013,36.27281006,35.07,0,0,5.3,6,新疆,16,34,16:34
2013,77.89293771,75.31,0,4,5.1,7,湖北,13,4,13:04
2014,1095.749757,1080.61,0,0,7.3,9,新疆,17,19,17:19
2014,451.3360202,445.1,0,32,5.3,6,云南,6,40,6:40
2014,1825.82709,1800.6,0,61,6.1,8,云南,9,20,9:20
2014,20127.09203,19849,617,3143,6.5,9,云南,6,7,6:07
2014,306.73814,302.5,0,20,5,6,云南,9,23,9:23
2014,152.101557,150,0,1,5,6,四川,21,49,21:49
2014,5181.795844,5110.2,1,331,6.6,8,云南,13,20,13:20
2014,220.4762769,217.43,0,0,4.2,6,浙江,16,55,16:55
2014,4291.058706,4231.77,5,78,6.3,8,四川,23,19,23:19
2014,2409.897069,2376.6,1,22,5.9,8,云南,18,20,18:20
2015,189.00003,189,0,20,5,5,新疆,14,50,14:50
2015,82.00001301,82,0,17,5,6,四川,13,21,13:21
2015,51.00000809,51,0,1,5,6,新疆,14,42,14:42
2015,837.0001328,837,0,50,5.5,7,云南,18,24,18:24
2015,75.37001196,75.37,2,13,4.3,6,安徽,6,14,6:14
2015,517.040082,517.04,0,1,5.5,7,贵州,9,47,9:47
2015,5.55000088,5.55,1,6,4.5,6,甘肃,7,8,7:08
2015,337.1400535,337.14,0,0,5.8,7,内蒙,15,39,15:39
2015,10302.00163,10302,27,860,8.1,9,西藏,14,11,14:11
2015,5430.000861,5430,3,260,6.5,8,新疆,9,7,9:07
2015,242.0000384,242,0,0,5.1,6,云南,19,26,19:26
